fips,state,county,broilers_sold,layers_sold,turkeys_sold,poultry_sold_total
01001,AL,AUTAUGA,,142.0,,142.0
01003,AL,BALDWIN,701.0,,450.0,1151.0
01005,AL,BARBOUR,31654273.0,104100.0,,31758373.0
01007,AL,BIBB,,360.0,,360.0
01009,AL,BLOUNT,56575610.0,313727.0,6.0,56889343.0
01011,AL,BULLOCK,,,,
01013,AL,BUTLER,47993145.0,,,47993145.0
01015,AL,CALHOUN,12702313.0,379.0,,12702692.0
01017,AL,CHAMBERS,,302.0,,302.0
01019,AL,CHEROKEE,33039477.0,,,33039477.0
01021,AL,CHILTON,360.0,1612.0,21.0,1993.0
01023,AL,CHOCTAW,37500.0,,,37500.0
01025,AL,CLARKE,,80.0,8.0,88.0
01027,AL,CLAY,32480838.0,338124.0,10.0,32818972.0
01029,AL,CLEBURNE,23406961.0,48165.0,,23455126.0
01031,AL,COFFEE,64673500.0,,,64673500.0
01033,AL,COLBERT,2786600.0,,94.0,2786694.0
01035,AL,CONECUH,,,,
01037,AL,COOSA,,,,
01039,AL,COVINGTON,26763670.0,388145.0,,27151815.0
01041,AL,CRENSHAW,51299488.0,188795.0,,51488283.0
01043,AL,CULLMAN,87345796.0,1383839.0,1710.0,88731345.0
01045,AL,DALE,59102166.0,197420.0,,59299586.0
01047,AL,DALLAS,,41.0,,41.0
01049,AL,DE KALB,108347266.0,1204878.0,,109552144.0
01051,AL,ELMORE,,79.0,,79.0
01053,AL,ESCAMBIA,,527.0,,527.0
01055,AL,ETOWAH,32172090.0,168825.0,,32340915.0
01057,AL,FAYETTE,6080066.0,,,6080066.0
01059,AL,FRANKLIN,34785164.0,110044.0,,34895208.0
01061,AL,GENEVA,43077171.0,,,43077171.0
01063,AL,GREENE,18.0,276.0,,294.0
01065,AL,HALE,2016092.0,816.0,,2016908.0
01067,AL,HENRY,12282800.0,,6.0,12282806.0
01069,AL,HOUSTON,4040078.0,13.0,,4040091.0
01071,AL,JACKSON,27193468.0,156556.0,,27350024.0
01073,AL,JEFFERSON,1200069.0,200.0,,1200269.0
01075,AL,LAMAR,,49.0,,49.0
01077,AL,LAUDERDALE,5457500.0,71936.0,75.0,5529511.0
01079,AL,LAWRENCE,39946260.0,214223.0,261.0,40160744.0
01081,AL,LEE,146.0,76.0,,222.0
01083,AL,LIMESTONE,10637727.0,42258.0,6.0,10679991.0
01085,AL,LOWNDES,13760459.0,425.0,,13760884.0
01087,AL,MACON,264.0,42.0,,306.0
